episode_length,mark,marks_nb,nb_episodes,nb_seasons,synopsis,title,url,years
22m,8.7,20K,21,3,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,Primal,https://www.imdb.com/title/tt10332508/?ref_=chttvtp_i_138,2019– 
3h,9.2,12K,412,3,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",Critical Role,https://www.imdb.com/title/tt4834232/?ref_=chttvtp_i_137,2015– 
45m,8.6,248K,217,11,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",The X-Files,https://www.imdb.com/title/tt0106179/?ref_=chttvtp_i_134,1993–2018
55m,8.7,761K,96,8,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",Dexter,https://www.imdb.com/title/tt0773262/?ref_=chttvtp_i_135,2006–2013
4h 39m,8.6,51K,12,2,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",The Jinx: The Life and Deaths of Robert Durst,https://www.imdb.com/title/tt4299972/?ref_=chttvtp_i_141,2015–2024
24m,8.7,79K,54,2,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",Code Geass,https://www.imdb.com/title/tt0994314/?ref_=chttvtp_i_136,2006–2008
55m,8.6,117K,36,3,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",Deadwood,https://www.imdb.com/title/tt0348914/?ref_=chttvtp_i_133,2004–2006
58m,8.6,255K,60,6,Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.,The Crown,https://www.imdb.com/title/tt4786824/?ref_=chttvtp_i_132,2016–2023
22m,8.6,286K,124,7,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Parks and Recreation,https://www.imdb.com/title/tt1266020/?ref_=chttvtp_i_131,2009–2015
30m,8.6,87K,41,4,"Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationsh...",Atlanta,https://www.imdb.com/title/tt4288182/?ref_=chttvtp_i_130,2016–2022
25m,8.7,44K,25,3,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",Father Ted,https://www.imdb.com/title/tt0111958/?ref_=chttvtp_i_129,1995–1998
45m,8.7,158K,106,6,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",This Is Us,https://www.imdb.com/title/tt5555260/?ref_=chttvtp_i_126,2016–2022
30m,8.7,13K,18,3,An anxious New Yorker attempts to give everyday advice while dealing with his own personal issues.,How to with John Wilson,https://www.imdb.com/title/tt10801534/?ref_=chttvtp_i_127,2020–2023
24m,8.7,44K,75,,"Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in...",Monster,https://www.imdb.com/title/tt0434706/?ref_=chttvtp_i_124,2004–2005
,8.6,529K,73,6,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,House of Cards,https://www.imdb.com/title/tt1856010/?ref_=chttvtp_i_125,2013–2018
29m,8.7,26K,24,4,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,The Thick of It,https://www.imdb.com/title/tt0459159/?ref_=chttvtp_i_123,2005–2012
30m,9.0,24K,78,,"An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",Ramayan,https://www.imdb.com/title/tt0268093/?ref_=chttvtp_i_128,1987–1988
,8.7,114K,10,,"The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what woul...",1883,https://www.imdb.com/title/tt13991232/?ref_=chttvtp_i_122,2021–2022
24m,8.7,165K,501,,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of...",Naruto: Shippuden,https://www.imdb.com/title/tt0988824/?ref_=chttvtp_i_121,2007–2017
1h,8.7,69K,37,7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",Line of Duty,https://www.imdb.com/title/tt2303687/?ref_=chttvtp_i_119,2012–2021
1h 30m,8.9,33K,105,4,An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,Behzat Ç: An Ankara Detective Story,https://www.imdb.com/title/tt1795096/?ref_=chttvtp_i_118,2010–2019
30m,8.9,18K,79,2,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi backgro...",Sarabhai V/S Sarabhai,https://www.imdb.com/title/tt1518542/?ref_=chttvtp_i_116,2004–2017
1h,8.7,126K,328,33,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",Top Gear,https://www.imdb.com/title/tt1628033/?ref_=chttvtp_i_120,2002–2022
44m,8.7,72K,76,5,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",Friday Night Lights,https://www.imdb.com/title/tt0758745/?ref_=chttvtp_i_115,2006–2011
,9.2,310K,10,2,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Aspirants,https://www.imdb.com/title/tt14392248/?ref_=chttvtp_i_114,2021– 
23m,8.7,20K,39,3,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics univers...,Justice League Unlimited,https://www.imdb.com/title/tt6025022/?ref_=chttvtp_i_113,2004–2006
,8.7,142K,43,5,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",The Marvelous Mrs. Maisel,https://www.imdb.com/title/tt5788792/?ref_=chttvtp_i_111,2017–2023
,8.7,24K,13,2,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",The Adventures of Sherlock Holmes,https://www.imdb.com/title/tt0086661/?ref_=chttvtp_i_110,1984–1985
40m,8.7,582K,25,4,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",The Mandalorian,https://www.imdb.com/title/tt8111088/?ref_=chttvtp_i_117,2019– 
1h,8.7,83K,46,5,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",The Grand Tour,https://www.imdb.com/title/tt5712554/?ref_=chttvtp_i_112,2016–2024
45m,8.9,23K,94,,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of th...",Mahabharat,https://www.imdb.com/title/tt0158417/?ref_=chttvtp_i_109,1988–1990
25m,8.7,66K,54,9,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope wi...,Peep Show,https://www.imdb.com/title/tt0387764/?ref_=chttvtp_i_106,2003–2015
,8.7,193K,18,3,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,Invincible,https://www.imdb.com/title/tt6741278/?ref_=chttvtp_i_105,2021– 
44m,8.7,135K,176,7,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",Star Trek: The Next Generation,https://www.imdb.com/title/tt0092455/?ref_=chttvtp_i_107,1987–1994
,8.7,259K,92,7,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Mad Men,https://www.imdb.com/title/tt0804503/?ref_=chttvtp_i_104,2007–2015
51m,8.7,1.3M,42,5,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",Stranger Things,https://www.imdb.com/title/tt4574334/?ref_=chttvtp_i_108,2016–2025
24m,8.7,184K,25,2,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",One Punch Man,https://www.imdb.com/title/tt4508902/?ref_=chttvtp_i_103,2015–2019
55m,8.7,195K,19,2,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journe...",Severance,https://www.imdb.com/title/tt11280740/?ref_=chttvtp_i_102,2022– 
23m,8.7,52K,25,,"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menaci...",Berserk,https://www.imdb.com/title/tt0318871/?ref_=chttvtp_i_99,1997–1998
22m,8.7,434K,763,36,The satiric adventures of a working-class family in the misfit city of Springfield.,The Simpsons,https://www.imdb.com/title/tt0096697/?ref_=chttvtp_i_98,1989–2025
,8.7,508K,176,8,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",House,https://www.imdb.com/title/tt0412142/?ref_=chttvtp_i_101,2004–2012
,8.7,224K,52,6,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Downton Abbey,https://www.imdb.com/title/tt1606375/?ref_=chttvtp_i_97,2010–2015
47m,8.7,88K,89,7,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,The Shield,https://www.imdb.com/title/tt0286486/?ref_=chttvtp_i_96,2002–2008
22m,8.7,323K,84,5,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Arrested Development,https://www.imdb.com/title/tt0367279/?ref_=chttvtp_i_100,2003–2019
44m,8.7,175K,74,4,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fab...",Battlestar Galactica,https://www.imdb.com/title/tt0407362/?ref_=chttvtp_i_95,2004–2009
,8.7,198K,12,2,Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,Fleabag,https://www.imdb.com/title/tt5687612/?ref_=chttvtp_i_94,2016–2019
1h,8.7,640K,32,4,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,The Boys,https://www.imdb.com/title/tt1190634/?ref_=chttvtp_i_93,2019– 
24m,9.0,35K,27,2,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approac...",Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/?ref_=chttvtp_i_92,2022– 
,8.7,439K,26,3,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",Dark,https://www.imdb.com/title/tt5753856/?ref_=chttvtp_i_91,2017–2020
,8.7,61K,9,2,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",Blue Eye Samurai,https://www.imdb.com/title/tt13309742/?ref_=chttvtp_i_90,2023
24m,8.8,73K,26,,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",Steins;Gate,https://www.imdb.com/title/tt1910272/?ref_=chttvtp_i_89,2011–2015
55m,8.7,106K,56,6,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,Oz,https://www.imdb.com/title/tt0118421/?ref_=chttvtp_i_88,1997–2003
,8.9,84K,24,3,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Prad...",Panchayat,https://www.imdb.com/title/tt12004706/?ref_=chttvtp_i_87,2020– 
,8.7,184K,22,2,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,Rome,https://www.imdb.com/title/tt0384766/?ref_=chttvtp_i_86,2005–2007
,8.8,641K,36,6,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Peaky Blinders,https://www.imdb.com/title/tt2442560/?ref_=chttvtp_i_84,2013–2022
50m,8.7,509K,11,2,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",The Last of Us,https://www.imdb.com/title/tt3581920/?ref_=chttvtp_i_83,2023– 
,9.1,21K,16,4,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",Gullak,https://www.imdb.com/title/tt10530900/?ref_=chttvtp_i_82,2019– 
24m,8.8,69K,48,2,"Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.",Vinland Saga,https://www.imdb.com/title/tt10233448/?ref_=chttvtp_i_80,2019–2023
,9.0,80K,11,3,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day ...",Kota Factory,https://www.imdb.com/title/tt9432978/?ref_=chttvtp_i_81,2019–2021
11m,8.8,70K,10,,Two brothers find themselves lost in a mysterious land and try to find their way home.,Over the Garden Wall,https://www.imdb.com/title/tt3718778/?ref_=chttvtp_i_79,2014
22m,8.7,404K,330,30,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",South Park,https://www.imdb.com/title/tt0121955/?ref_=chttvtp_i_77,1997– 
,8.8,342K,34,3,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",Ted Lasso,https://www.imdb.com/title/tt10986410/?ref_=chttvtp_i_78,2020–2023
1h,8.7,635K,33,7,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap in...",Black Mirror,https://www.imdb.com/title/tt2085059/?ref_=chttvtp_i_76,2011– 
11h 9m,8.8,19K,13,,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","I, Claudius",https://www.imdb.com/title/tt0074006/?ref_=chttvtp_i_75,1976
,9.1,11K,20,,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.",Reply 1988,https://www.imdb.com/title/tt5182866/?ref_=chttvtp_i_74,2015–2016
22m,8.8,71K,33,3,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,Chappelle's Show,https://www.imdb.com/title/tt0353049/?ref_=chttvtp_i_72,2003–2006
49m,8.8,467K,30,3,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",Narcos,https://www.imdb.com/title/tt2707408/?ref_=chttvtp_i_71,2015–2017
24m,8.8,146K,277,16,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",Dragon Ball Z,https://www.imdb.com/title/tt0214341/?ref_=chttvtp_i_70,1989–1996
2h 55m,8.8,57K,6,,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",Blackadder Goes Forth,https://www.imdb.com/title/tt0096548/?ref_=chttvtp_i_68,1989
,8.8,214K,30,2,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,Twin Peaks,https://www.imdb.com/title/tt0098936/?ref_=chttvtp_i_69,1990–1991
5h 27m,8.8,92K,6,,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",Pride and Prejudice,https://www.imdb.com/title/tt0112130/?ref_=chttvtp_i_66,1995
1h 20m,9.1,96K,144,7,"It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnere...",Leyla and Mecnun,https://www.imdb.com/title/tt1831164/?ref_=chttvtp_i_65,2011–2023
30m,8.8,100K,12,2,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Fawlty Towers,https://www.imdb.com/title/tt0072500/?ref_=chttvtp_i_64,1975–1979
,8.8,187K,77,6,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful...",BoJack Horseman,https://www.imdb.com/title/tt3398228/?ref_=chttvtp_i_63,2014–2020
24m,9.0,228K,1108,,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",One Piece,https://www.imdb.com/title/tt0388629/?ref_=chttvtp_i_62,1999– 
28m,8.8,144K,120,12,Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/?ref_=chttvtp_i_61,2000–2024
4h 53m,8.8,33K,3,,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,Das Boot,https://www.imdb.com/title/tt0081834/?ref_=chttvtp_i_60,1985
44m,8.9,85K,155,7,Inside the lives of staffers in the West Wing of the White House.,The West Wing,https://www.imdb.com/title/tt0200276/?ref_=chttvtp_i_59,1999–2006
30m,8.8,79K,45,4,The original surreal sketch comedy showcase for the Monty Python troupe.,Monty Python's Flying Circus,https://www.imdb.com/title/tt0063929/?ref_=chttvtp_i_58,1969–1974
22m,8.8,250K,172,18,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/?ref_=chttvtp_i_57,2005– 
40m,9.1,72K,10,2,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,TVF Pitchers,https://www.imdb.com/title/tt4742876/?ref_=chttvtp_i_56,2015–2022
,9.0,21K,44,5,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,As If,https://www.imdb.com/title/tt13675832/?ref_=chttvtp_i_55,2021– 
,8.9,1.1M,234,10,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,Friends,https://www.imdb.com/title/tt0108778/?ref_=chttvtp_i_53,1994–2004
,8.8,268K,39,4,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",Succession,https://www.imdb.com/title/tt7660850/?ref_=chttvtp_i_54,2018–2023
6h,8.9,17K,7,,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles an...",Africa,https://www.imdb.com/title/tt2571774/?ref_=chttvtp_i_52,2013
47m,9.0,19K,161,17,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",Taskmaster,https://www.imdb.com/title/tt4934214/?ref_=chttvtp_i_51,2015– 
30m,8.9,95K,346,11,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,Last Week Tonight with John Oliver,https://www.imdb.com/title/tt3530232/?ref_=chttvtp_i_50,2014– 
4h 56m,8.8,137K,4,,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,When They See Us,https://www.imdb.com/title/tt7137906/?ref_=chttvtp_i_49,2019
30m,8.9,38K,32,4,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often dr...",Nathan for You,https://www.imdb.com/title/tt2297757/?ref_=chttvtp_i_47,2013–2017
5h 12m,9.0,14K,6,,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",Apocalypse: The Second World War,https://www.imdb.com/title/tt1508238/?ref_=chttvtp_i_48,2009
53m,8.9,419K,51,5,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.",Fargo,https://www.imdb.com/title/tt2802850/?ref_=chttvtp_i_46,2014–2024
,8.9,137K,26,,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,Cowboy Bebop,https://www.imdb.com/title/tt0213338/?ref_=chttvtp_i_45,1998–1999
23m,8.9,133K,41,2,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",Gravity Falls,https://www.imdb.com/title/tt1865718/?ref_=chttvtp_i_44,2012–2016
1h,9.0,47K,22,2,A man diagnosed with Alzheimer's decides to punish criminals.,Persona,https://www.imdb.com/title/tt7920978/?ref_=chttvtp_i_43,2018– 
55m,8.9,650K,31,5,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",True Detective,https://www.imdb.com/title/tt2356777/?ref_=chttvtp_i_42,2014– 
,9.0,28K,3,,"In January 1969, The Beatles set out to write and record new songs for their first live show in more than two years, culminating in an impromptu concert atop their Savile Row studio.",The Beatles: Get Back,https://www.imdb.com/title/tt9735318/?ref_=chttvtp_i_41,2021
9h 32m,8.9,28K,10,,"Ten television drama films, each one based on one of the Ten Commandments.",The Decalogue,https://www.imdb.com/title/tt0092337/?ref_=chttvtp_i_40,1989–1990
11h 20m,9.0,18K,9,,A comprehensive survey of the American Civil War.,The Civil War,https://www.imdb.com/title/tt0098769/?ref_=chttvtp_i_38,1990
22m,8.9,349K,173,9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Seinfeld,https://www.imdb.com/title/tt0098904/?ref_=chttvtp_i_39,1989–1998
24m,8.9,374K,37,,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Death Note,https://www.imdb.com/title/tt0877057/?ref_=chttvtp_i_37,2006–2007
1h 35m,9.0,56K,64,9,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Only Fools and Horses,https://www.imdb.com/title/tt0081912/?ref_=chttvtp_i_36,1981–2003
24m,9.0,132K,148,,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",Hunter x Hunter,https://www.imdb.com/title/tt2098220/?ref_=chttvtp_i_35,2011–2014
45m,9.0,55K,18,4,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Clarkson's Farm,https://www.imdb.com/title/tt10541088/?ref_=chttvtp_i_34,2021– 
,9.0,33K,10,,Focuses on life and the environment in both the Arctic and Antarctic.,Frozen Planet,https://www.imdb.com/title/tt2092588/?ref_=chttvtp_i_33,2011–2012
50m,9.0,28K,8,,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,Human Planet,https://www.imdb.com/title/tt1806234/?ref_=chttvtp_i_31,2011
,9.0,281K,14,,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag...",Firefly,https://www.imdb.com/title/tt0303461/?ref_=chttvtp_i_32,2002–2003
41m,9.0,265K,10,2,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",Arcane,https://www.imdb.com/title/tt11126994/?ref_=chttvtp_i_29,2021– 
,9.0,640K,63,6,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,Better Call Saul,https://www.imdb.com/title/tt3032476/?ref_=chttvtp_i_30,2015–2022
22m,9.0,704K,188,9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",The Office,https://www.imdb.com/title/tt0386676/?ref_=chttvtp_i_27,2005–2013
6h 29m,9.0,43K,8,,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",The Blue Planet,https://www.imdb.com/title/tt0296310/?ref_=chttvtp_i_28,2001
54m,9.3,156K,10,,"The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.",Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/?ref_=chttvtp_i_26,2020
,9.2,33K,10,,"When a mysterious European ship is found marooned in a nearby fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",Shōgun,https://www.imdb.com/title/tt2788316/?ref_=chttvtp_i_25,2024
24m,9.1,502K,98,4,"After his hometown is destroyed and is traumatized, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Attack on Titan,https://www.imdb.com/title/tt2560140/?ref_=chttvtp_i_24,2013–2023
16h 30m,9.1,28K,10,,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,The Vietnam War,https://www.imdb.com/title/tt1877514/?ref_=chttvtp_i_22,2017
23m,9.0,116K,85,4,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Batman: The Animated Series,https://www.imdb.com/title/tt0103359/?ref_=chttvtp_i_23,1992–1995
1h 28m,9.1,992K,15,4,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's...",Sherlock,https://www.imdb.com/title/tt1475582/?ref_=chttvtp_i_21,2010–2017
51m,9.1,93K,156,5,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",The Twilight Zone,https://www.imdb.com/title/tt0052520/?ref_=chttvtp_i_20,1959–1964
8h 58m,9.4,219K,11,,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plain...",Planet Earth,https://www.imdb.com/title/tt0795176/?ref_=chttvtp_i_3,2006
9h 54m,9.4,522K,10,,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",Band of Brothers,https://www.imdb.com/title/tt0185906/?ref_=chttvtp_i_4,2001
,9.5,157K,6,,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Planet Earth II,https://www.imdb.com/title/tt5491994/?ref_=chttvtp_i_2,2016
24m,8.6,44K,37,3,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",Mob Psycho 100,https://www.imdb.com/title/tt5897304/?ref_=chttvtp_i_204,2016–2022
30m,8.7,13K,357,8,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",El Chavo del Ocho,https://www.imdb.com/title/tt0229889/?ref_=chttvtp_i_174,1972–1983
30m,8.6,36K,78,3,TV series featuring the classic Looney Tunes animated shorts.,The Bugs Bunny Show,https://www.imdb.com/title/tt0053488/?ref_=chttvtp_i_173,1960–1975
1h,8.7,148K,63,5,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,Six Feet Under,https://www.imdb.com/title/tt0248654/?ref_=chttvtp_i_85,2001–2005
24m,8.8,87K,291,,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaugh...",Dragon Ball Z,https://www.imdb.com/title/tt0121220/?ref_=chttvtp_i_73,1989–1996
,8.8,153K,18,,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,Freaks and Geeks,https://www.imdb.com/title/tt0193676/?ref_=chttvtp_i_67,1999–2000
